clip_idx,segment,group,split
7,full__w0003__t0.150s,sentence,test
7,full__w0004__t0.200s,sentence,test
7,full__w0005__t0.250s,sentence,test
7,full__w0006__t0.300s,sentence,test
7,full__w0007__t0.350s,sentence,test
7,full__w0008__t0.400s,sentence,test
7,full__w0009__t0.450s,sentence,test
7,full__w0010__t0.500s,sentence,test
7,full__w0011__t0.550s,sentence,test
7,full__w0012__t0.600s,sentence,test
7,full__w0013__t0.650s,sentence,test
7,full__w0014__t0.700s,sentence,test
7,full__w0015__t0.750s,sentence,test
7,full__w0016__t0.800s,sentence,test
7,full__w0017__t0.850s,sentence,test
7,full__w0018__t0.900s,sentence,test
7,full__w0019__t0.950s,sentence,test
7,full__w0020__t1.000s,sentence,test
7,full__w0021__t1.050s,sentence,test
7,full__w0022__t1.100s,sentence,test
7,full__w0023__t1.150s,sentence,test
7,full__w0024__t1.200s,sentence,test
7,full__w0025__t1.250s,sentence,test
7,full__w0026__t1.300s,sentence,test
7,full__w0027__t1.350s,sentence,test
7,full__w0028__t1.400s,sentence,test
7,full__w0029__t1.450s,sentence,test
7,full__w0030__t1.500s,sentence,test
7,full__w0031__t1.550s,sentence,test
7,full__w0032__t1.600s,sentence,test
7,full__w0033__t1.650s,sentence,test
7,full__w0034__t1.700s,sentence,test
7,full__w0035__t1.750s,sentence,test
7,full__w0036__t1.800s,sentence,test
7,full__w0037__t1.850s,sentence,test
7,full__w0038__t1.900s,sentence,test
7,full__w0039__t1.950s,sentence,test
7,full__w0040__t2.000s,sentence,test
7,full__w0041__t2.050s,sentence,test
7,full__w0042__t2.100s,sentence,test
7,full__w0043__t2.150s,sentence,test
7,full__w0044__t2.200s,sentence,test
7,full__w0045__t2.250s,sentence,test
7,full__w0046__t2.300s,sentence,test
7,full__w0047__t2.350s,sentence,test
7,full__w0048__t2.400s,sentence,test
7,full__w0049__t2.450s,sentence,test
7,full__w0050__t2.500s,sentence,test
7,full__w0051__t2.550s,sentence,test
7,full__w0052__t2.600s,sentence,test
7,full__w0053__t2.650s,sentence,test
7,full__w0054__t2.700s,sentence,test
7,full__w0055__t2.750s,sentence,test
7,full__w0056__t2.800s,sentence,test
7,full__w0057__t2.850s,sentence,test
7,full__w0058__t2.900s,sentence,test
7,full__w0059__t2.950s,sentence,test
7,full__w0060__t3.000s,sentence,test
7,full__w0061__t3.050s,sentence,test
7,full__w0062__t3.100s,sentence,test
7,full__w0063__t3.150s,sentence,test
7,full__w0064__t3.200s,sentence,test
7,full__w0065__t3.250s,sentence,test
7,full__w0066__t3.300s,sentence,test
7,full__w0067__t3.350s,sentence,test
7,full__w0068__t3.400s,sentence,test
7,full__w0069__t3.450s,sentence,test
7,full__w0070__t3.500s,sentence,test
7,full__w0071__t3.550s,sentence,test
7,full__w0072__t3.600s,sentence,test
7,full__w0073__t3.650s,sentence,test
7,full__w0074__t3.700s,sentence,test
7,full__w0075__t3.750s,sentence,test
8,full__w0000__t0.000s,vowel_a,train
8,full__w0001__t0.050s,vowel_a,train
8,full__w0002__t0.100s,vowel_a,train
8,full__w0003__t0.150s,vowel_a,train
8,full__w0004__t0.200s,vowel_a,train
8,full__w0005__t0.250s,vowel_a,train
8,full__w0006__t0.300s,vowel_a,train
8,full__w0007__t0.350s,vowel_a,train
8,full__w0008__t0.400s,vowel_a,train
8,full__w0009__t0.450s,vowel_a,train
8,full__w0010__t0.500s,vowel_a,train
8,full__w0011__t0.550s,vowel_a,train
8,full__w0012__t0.600s,vowel_a,train
8,full__w0013__t0.650s,vowel_a,train
8,full__w0014__t0.700s,vowel_a,train
8,full__w0015__t0.750s,vowel_a,train
8,full__w0016__t0.800s,vowel_a,train
8,full__w0017__t0.850s,vowel_a,train
8,full__w0018__t0.900s,vowel_a,train
8,full__w0019__t0.950s,vowel_a,train
8,full__w0020__t1.000s,vowel_a,train
8,full__w0021__t1.050s,vowel_a,train
8,full__w0022__t1.100s,vowel_a,train
8,full__w0023__t1.150s,vowel_a,train
8,full__w0024__t1.200s,vowel_a,train
8,full__w0025__t1.250s,vowel_a,train
8,full__w0026__t1.300s,vowel_a,train
8,full__w0027__t1.350s,vowel_a,train
8,full__w0028__t1.400s,vowel_a,train
8,full__w0029__t1.450s,vowel_a,train
8,full__w0030__t1.500s,vowel_a,train
8,full__w0031__t1.550s,vowel_a,train
8,full__w0032__t1.600s,vowel_a,train
8,full__w0033__t1.650s,vowel_a,train
8,full__w0034__t1.700s,vowel_a,train
8,full__w0035__t1.750s,vowel_a,train
9,full__w0000__t0.000s,vowel_i,train
9,full__w0001__t0.050s,vowel_i,train
9,full__w0002__t0.100s,vowel_i,train
9,full__w0003__t0.150s,vowel_i,train
9,full__w0004__t0.200s,vowel_i,train
9,full__w0005__t0.250s,vowel_i,train
9,full__w0006__t0.300s,vowel_i,train
9,full__w0007__t0.350s,vowel_i,train
9,full__w0008__t0.400s,vowel_i,train
9,full__w0009__t0.450s,vowel_i,train
9,full__w0010__t0.500s,vowel_i,train
9,full__w0011__t0.550s,vowel_i,train
9,full__w0012__t0.600s,vowel_i,train
9,full__w0013__t0.650s,vowel_i,train
9,full__w0014__t0.700s,vowel_i,train
9,full__w0015__t0.750s,vowel_i,train
9,full__w0016__t0.800s,vowel_i,train
9,full__w0017__t0.850s,vowel_i,train
9,full__w0018__t0.900s,vowel_i,train
9,full__w0019__t0.950s,vowel_i,train
9,full__w0020__t1.000s,vowel_i,train
9,full__w0021__t1.050s,vowel_i,train
9,full__w0022__t1.100s,vowel_i,train
9,full__w0023__t1.150s,vowel_i,train
9,full__w0024__t1.200s,vowel_i,train
9,full__w0025__t1.250s,vowel_i,train
9,full__w0026__t1.300s,vowel_i,train
9,full__w0027__t1.350s,vowel_i,train
9,full__w0028__t1.400s,vowel_i,train
9,full__w0029__t1.450s,vowel_i,train
9,full__w0030__t1.500s,vowel_i,train
9,full__w0031__t1.550s,vowel_i,train
9,full__w0032__t1.600s,vowel_i,train
9,full__w0033__t1.650s,vowel_i,train
9,full__w0034__t1.700s,vowel_i,train
9,full__w0035__t1.750s,vowel_i,train
10,full__w0000__t0.000s,fricative_s,train
10,full__w0001__t0.050s,fricative_s,train
10,full__w0002__t0.100s,fricative_s,train
10,full__w0003__t0.150s,fricative_s,train
10,full__w0004__t0.200s,fricative_s,train
10,full__w0005__t0.250s,fricative_s,train
10,full__w0006__t0.300s,fricative_s,train
10,full__w0007__t0.350s,fricative_s,train
10,full__w0008__t0.400s,fricative_s,train
10,full__w0009__t0.450s,fricative_s,train
10,full__w0010__t0.500s,fricative_s,train
10,full__w0011__t0.550s,fricative_s,train
10,full__w0012__t0.600s,fricative_s,train
10,full__w0013__t0.650s,fricative_s,train
10,full__w0014__t0.700s,fricative_s,train
10,full__w0015__t0.750s,fricative_s,train
10,full__w0016__t0.800s,fricative_s,train
10,full__w0017__t0.850s,fricative_s,train
10,full__w0018__t0.900s,fricative_s,train
10,full__w0019__t0.950s,fricative_s,train
10,full__w0020__t1.000s,fricative_s,train
10,full__w0021__t1.050s,fricative_s,train
10,full__w0022__t1.100s,fricative_s,train
10,full__w0023__t1.150s,fricative_s,train
10,full__w0024__t1.200s,fricative_s,train
10,full__w0025__t1.250s,fricative_s,train
10,full__w0026__t1.300s,fricative_s,train
10,full__w0027__t1.350s,fricative_s,train
10,full__w0028__t1.400s,fricative_s,train
10,full__w0029__t1.450s,fricative_s,train
10,full__w0030__t1.500s,fricative_s,train
10,full__w0031__t1.550s,fricative_s,train
10,full__w0032__t1.600s,fricative_s,train
10,full__w0033__t1.650s,fricative_s,train
10,full__w0034__t1.700s,fricative_s,train
10,full__w0035__t1.750s,fricative_s,train
11,full__w0000__t0.000s,sentence,train
11,full__w0001__t0.050s,sentence,train
11,full__w0002__t0.100s,sentence,train
11,full__w0003__t0.150s,sentence,train
11,full__w0004__t0.200s,sentence,train
11,full__w0005__t0.250s,sentence,train
11,full__w0006__t0.300s,sentence,train
11,full__w0007__t0.350s,sentence,train
11,full__w0008__t0.400s,sentence,train
11,full__w0009__t0.450s,sentence,train
11,full__w0010__t0.500s,sentence,train
11,full__w0011__t0.550s,sentence,train
11,full__w0012__t0.600s,sentence,train
11,full__w0013__t0.650s,sentence,train
11,full__w0014__t0.700s,sentence,train
11,full__w0015__t0.750s,sentence,train
11,full__w0016__t0.800s,sentence,train
11,full__w0017__t0.850s,sentence,train
11,full__w0018__t0.900s,sentence,train
11,full__w0019__t0.950s,sentence,train
11,full__w0020__t1.000s,sentence,train
11,full__w0021__t1.050s,sentence,train
11,full__w0022__t1.100s,sentence,train
11,full__w0023__t1.150s,sentence,train
11,full__w0024__t1.200s,sentence,train
11,full__w0025__t1.250s,sentence,train
11,full__w0026__t1.300s,sentence,train
11,full__w0027__t1.350s,sentence,train
11,full__w0028__t1.400s,sentence,train
11,full__w0029__t1.450s,sentence,train
11,full__w0030__t1.500s,sentence,train
11,full__w0031__t1.550s,sentence,train
11,full__w0032__t1.600s,sentence,train
11,full__w0033__t1.650s,sentence,train
11,full__w0034__t1.700s,sentence,train
11,full__w0035__t1.750s,sentence,train
11,full__w0036__t1.800s,sentence,train
11,full__w0037__t1.850s,sentence,train
11,full__w0038__t1.900s,sentence,train
11,full__w0039__t1.950s,sentence,train
11,full__w0040__t2.000s,sentence,train
11,full__w0041__t2.050s,sentence,train
11,full__w0042__t2.100s,sentence,train
11,full__w0043__t2.150s,sentence,train
11,full__w0044__t2.200s,sentence,train
11,full__w0045__t2.250s,sentence,train
11,full__w0046__t2.300s,sentence,train
11,full__w0047__t2.350s,sentence,train
11,full__w0048__t2.400s,sentence,train
11,full__w0049__t2.450s,sentence,train
11,full__w0050__t2.500s,sentence,train
11,full__w0051__t2.550s,sentence,train
11,full__w0052__t2.600s,sentence,train
11,full__w0053__t2.650s,sentence,train
11,full__w0054__t2.700s,sentence,train
11,full__w0055__t2.750s,sentence,train
11,full__w0056__t2.800s,sentence,train
11,full__w0057__t2.850s,sentence,train
11,full__w0058__t2.900s,sentence,train
11,full__w0059__t2.950s,sentence,train
11,full__w0060__t3.000s,sentence,train
11,full__w0061__t3.050s,sentence,train
11,full__w0062__t3.100s,sentence,train
11,full__w0063__t3.150s,sentence,train
11,full__w0064__t3.200s,sentence,train
11,full__w0065__t3.250s,sentence,train
11,full__w0066__t3.300s,sentence,train
11,full__w0067__t3.350s,sentence,train
11,full__w0068__t3.400s,sentence,train
11,full__w0069__t3.450s,sentence,train
11,full__w0070__t3.500s,sentence,train
11,full__w0071__t3.550s,sentence,train
11,full__w0072__t3.600s,sentence,train
11,full__w0073__t3.650s,sentence,train
11,full__w0074__t3.700s,sentence,train
11,full__w0075__t3.750s,sentence,train
